n,A,B,C,D
1,1,0,1,0
2,1,0,0,1
3,1,0,0,1
4,1,0,0,1
5,1,0,1,0
6,0,1,0,1
7,0,1,0,1
8,1,0,0,1
9,0,1,1,0
10,1,0,1,0
11,0,1,0,1
12,1,0,1,0
13,0,1,0,1
14,1,0,1,0
15,1,0,0,1
16,1,0,0,1
17,1,0,0,1
18,0,1,1,0
19,0,1,0,1
20,0,1,0,1
21,1,0,0,1
22,0,1,0,1
23,1,0,0,1
24,1,0,1,0
25,0,1,1,0
26,0,1,1,0
27,1,0,1,0
28,1,0,0,1
29,1,0,1,0
30,0,1,1,0
31,1,0,1,0
32,1,0,1,0
33,0,1,0,1
34,1,0,0,1
35,0,1,0,1
36,0,1,0,1
37,0,1,0,1
38,1,0,0,1
39,0,1,0,1
40,1,0,0,1
41,1,0,0,1
42,1,0,1,0
43,1,0,1,0
44,0,1,0,1
45,0,1,1,0
46,1,0,0,1
47,1,0,0,1
48,0,1,1,0
49,0,1,0,1
50,1,0,0,1
51,1,0,0,1
52,0,1,1,0
53,0,1,1,0
54,0,1,0,1
55,0,1,0,1
56,1,0,0,1
57,1,0,0,1
58,1,0,1,0
59,0,1,1,0
60,1,0,0,1
61,1,0,0,1
62,0,1,0,1
63,1,0,0,1
64,1,0,0,1
65,1,0,0,1
66,1,0,1,0
67,1,0,1,0
68,1,0,0,1
69,1,0,1,0
70,1,0,1,0
71,1,0,0,1
72,0,1,1,0
73,1,0,1,0
74,0,1,1,0
75,1,0,0,1
76,1,0,1,0
77,1,0,0,1
78,0,1,1,0
79,1,0,1,0
80,1,0,0,1
81,1,0,0,1
82,1,0,1,0
83,0,1,0,1
84,1,0,1,0
85,1,0,0,1
86,1,0,1,0
87,0,1,0,1
88,0,1,0,1
89,1,0,0,1
90,1,0,0,1
91,1,0,0,1
92,0,1,0,1
93,1,0,0,1
94,0,1,0,1
95,1,0,0,1
96,1,0,1,0
97,1,0,1,0
98,1,0,0,1
99,0,1,0,1
100,1,0,1,0
101,0,1,1,0
102,1,0,0,1
103,0,1,0,1
104,1,0,0,1
105,1,0,1,0
106,1,0,1,0
107,1,0,0,1
108,1,0,0,1
109,0,1,0,1
110,1,0,1,0
111,1,0,0,1
112,1,0,1,0
113,1,0,0,1
114,0,1,1,0
115,1,0,1,0
116,1,0,1,0
117,0,1,0,1
118,0,1,1,0
119,1,0,0,1
120,0,1,1,0
121,1,0,0,1
122,1,0,0,1
123,0,1,0,1
124,1,0,1,0
125,1,0,0,1
126,0,1,0,1
127,1,0,1,0
128,1,0,0,1
129,1,0,0,1
130,1,0,0,1
131,1,0,1,0
132,1,0,1,0
133,0,1,1,0
134,0,1,1,0
135,1,0,0,1
136,1,0,1,0
137,1,0,0,1
138,1,0,0,1
139,1,0,1,0
140,1,0,0,1
141,1,0,1,0
142,1,0,1,0
143,1,0,0,1
144,1,0,1,0
145,0,1,0,1
146,0,1,1,0
147,0,1,1,0
148,1,0,1,0
149,0,1,0,1
150,0,1,1,0
151,1,0,0,1
152,0,1,0,1
153,1,0,0,1
154,1,0,0,1
155,1,0,1,0
156,1,0,1,0
157,1,0,0,1
158,1,0,1,0
159,1,0,1,0
160,1,0,0,1
161,1,0,0,1
162,1,0,0,1
163,1,0,0,1
164,1,0,0,1
165,1,0,0,1
166,0,1,0,1
167,0,1,1,0
168,0,1,1,0
169,1,0,0,1
170,0,1,0,1
171,1,0,1,0
172,1,0,0,1
173,1,0,1,0
174,0,1,0,1
175,1,0,0,1
176,1,0,0,1
177,1,0,0,1
178,0,1,0,1
179,1,0,1,0
180,0,1,0,1
181,0,1,1,0
182,1,0,1,0
183,0,1,0,1
184,1,0,0,1
185,0,1,0,1
186,1,0,0,1
187,1,0,0,1
188,1,0,1,0
189,1,0,0,1
190,1,0,0,1
191,0,1,0,1
192,0,1,1,0
193,1,0,1,0
194,1,0,0,1
195,1,0,1,0
196,1,0,0,1
197,1,0,0,1
198,1,0,1,0
199,1,0,1,0
200,1,0,1,0
201,1,0,0,1
202,1,0,1,0
203,1,0,0,1
204,1,0,0,1
205,1,0,1,0
206,1,0,0,1
207,1,0,0,1
208,1,0,1,0
209,1,0,1,0
210,1,0,0,1
211,1,0,1,0
212,1,0,1,0
213,1,0,0,1
214,1,0,1,0
215,0,1,0,1
216,1,0,0,1
217,1,0,0,1
218,0,1,1,0
219,1,0,0,1
220,1,0,0,1
221,0,1,0,1
222,0,1,1,0
223,0,1,1,0
224,1,0,1,0
225,1,0,0,1
226,1,0,0,1
227,0,1,1,0
228,1,0,0,1
229,1,0,0,1
230,1,0,1,0
231,0,1,0,1
232,0,1,1,0
233,0,1,1,0
234,0,1,0,1
235,1,0,1,0
236,1,0,0,1
237,1,0,0,1
238,1,0,0,1
239,0,1,1,0
240,1,0,1,0
241,0,1,1,0
242,1,0,1,0
243,1,0,0,1
244,1,0,1,0
245,0,1,1,0
246,0,1,0,1
247,0,1,1,0
248,0,1,0,1
249,1,0,1,0
250,1,0,0,1
251,1,0,0,1
252,0,1,0,1
253,0,1,0,1
254,0,1,1,0
255,1,0,0,1
256,1,0,0,1
257,0,1,0,1
258,0,1,1,0
259,1,0,0,1
260,1,0,0,1
